Campaign Name,Date,Impressions,Clicks,Spend,Revenue,Conversions,Platform
Diwali Sale Push,2026-06-01,45200,1808,5420.00,16200.50,142,Google Ads
Diwali Sale Push,2026-06-02,38900,1556,4668.00,13950.00,118,Google Ads
Diwali Sale Push,2026-06-03,52100,2084,6252.00,19800.75,167,Meta
Diwali Sale Push,2026-06-04,41800,1672,5016.00,15100.00,131,Meta
Diwali Sale Push,2026-06-05,47600,1904,5712.00,17500.25,148,Google Ads
Diwali Sale Push,2026-06-06,39500,1580,4740.00,14200.00,122,Google Ads
Diwali Sale Push,2026-06-07,55200,2208,6624.00,21000.00,180,Meta
Diwali Sale Push,2026-06-08,43100,1724,5172.00,16400.00,138,Meta
App Install - Tier 1,2026-06-01,120500,3615,10845.00,8500.00,285,Google Ads
App Install - Tier 1,2026-06-02,115200,3456,10368.00,7900.00,268,Google Ads
App Install - Tier 1,2026-06-03,128900,3867,11601.00,9200.00,312,Meta
App Install - Tier 1,2026-06-04,110400,3312,9936.00,7400.00,255,Meta
App Install - Tier 1,2026-06-05,135600,4068,12204.00,9800.00,330,InMobi
App Install - Tier 1,2026-06-06,108200,3246,9738.00,7100.00,248,InMobi
App Install - Tier 1,2026-06-07,142000,4260,12780.00,10500.00,350,Google Ads
App Install - Tier 1,2026-06-08,118900,3567,10701.00,8200.00,290,Google Ads
Brand Awareness Q2,2026-06-01,250000,5000,7500.00,3200.00,45,Meta
Brand Awareness Q2,2026-06-02,238000,4760,7140.00,2900.00,38,Meta
Brand Awareness Q2,2026-06-03,265000,5300,7950.00,3500.00,52,LinkedIn
Brand Awareness Q2,2026-06-04,242000,4840,7260.00,3100.00,41,LinkedIn
Brand Awareness Q2,2026-06-05,271000,5420,8130.00,3600.00,55,Meta
Brand Awareness Q2,2026-06-06,235000,4700,7050.00,2800.00,36,Meta
Brand Awareness Q2,2026-06-07,280000,5600,8400.00,3800.00,60,LinkedIn
Brand Awareness Q2,2026-06-08,248000,4960,7440.00,3300.00,48,LinkedIn
Summer Clearance,2026-06-09,62000,3100,9300.00,28500.00,248,Google Ads
Summer Clearance,2026-06-10,58500,2925,8775.00,26200.00,228,Google Ads
Summer Clearance,2026-06-11,67200,3360,10080.00,31500.00,272,Meta
Summer Clearance,2026-06-12,55800,2790,8370.00,24800.00,215,Meta
Summer Clearance,2026-06-13,71000,3550,10650.00,33200.00,290,Google Ads
Summer Clearance,2026-06-14,54200,2710,8130.00,23500.00,205,Google Ads
Summer Clearance,2026-06-15,73500,3675,11025.00,34800.00,302,Meta
Summer Clearance,2026-06-16,60100,3005,9015.00,27000.00,235,Meta
Retargeting - Cart Abandoners,2026-06-09,32000,2560,7680.00,35200.00,410,Google Ads
Retargeting - Cart Abandoners,2026-06-10,29500,2360,7080.00,31800.00,375,Google Ads
Retargeting - Cart Abandoners,2026-06-11,35200,2816,8448.00,38500.00,445,Meta
Retargeting - Cart Abandoners,2026-06-12,28100,2248,6744.00,29400.00,350,Meta
Retargeting - Cart Abandoners,2026-06-13,37500,3000,9000.00,41200.00,480,InMobi
Retargeting - Cart Abandoners,2026-06-14,26800,2144,6432.00,27600.00,330,InMobi
Retargeting - Cart Abandoners,2026-06-15,39000,3120,9360.00,43500.00,510,Google Ads
Retargeting - Cart Abandoners,2026-06-16,30200,2416,7248.00,33000.00,395,Google Ads
Video Ads - YouTube,2026-06-15,180000,3600,10800.00,5400.00,72,Google Ads
Video Ads - YouTube,2026-06-16,172000,3440,10320.00,4900.00,65,Google Ads
Video Ads - YouTube,2026-06-17,195000,3900,11700.00,5900.00,80,Google Ads
